Date,Draw,Winning_Numbers
2025-05-04,NIGHT,'097
2025-05-04,EVENING,'213
2025-05-04,MIDDAY,'724
2025-05-03,NIGHT,'565
2025-05-03,EVENING,'738
2025-05-03,MIDDAY,'407
2025-05-02,NIGHT,'044
2025-05-02,EVENING,'741
2025-05-02,MIDDAY,'250
2025-05-01,NIGHT,'261
2025-05-01,EVENING,'631
2025-05-01,MIDDAY,'040
2025-06-29,NIGHT,'764
2025-06-29,EVENING,'867
2025-06-29,MIDDAY,'338
2025-06-28,NIGHT,'703
2025-06-28,EVENING,'816
2025-06-28,MIDDAY,'273
2025-06-27,NIGHT,'288
2025-06-27,EVENING,'865
2025-06-27,MIDDAY,'979
2025-06-26,NIGHT,'597
2025-06-26,EVENING,'952
2025-06-26,MIDDAY,'527
2025-06-25,NIGHT,'432
2025-06-25,EVENING,'508
2025-06-25,MIDDAY,'681
2025-06-24,NIGHT,'828
2025-06-24,EVENING,'716
2025-06-24,MIDDAY,'008
2025-06-23,NIGHT,'769
2025-06-23,EVENING,'707
2025-06-23,MIDDAY,'558
2025-06-22,NIGHT,'015
2025-06-22,EVENING,'564
2025-06-22,MIDDAY,'541
2025-06-21,NIGHT,'310
2025-06-21,EVENING,'428
2025-06-21,MIDDAY,'279
2025-06-20,NIGHT,'124
2025-06-20,EVENING,'025
2025-06-20,MIDDAY,'021
2025-06-19,NIGHT,'419
2025-06-19,EVENING,'316
2025-06-19,MIDDAY,'855
2025-06-18,NIGHT,'940
2025-06-18,EVENING,'788
2025-06-18,MIDDAY,'214
2025-06-17,NIGHT,'703
2025-06-17,EVENING,'947
2025-06-17,MIDDAY,'343
2025-06-16,NIGHT,'556
2025-06-16,EVENING,'550
2025-06-16,MIDDAY,'116
2025-06-15,NIGHT,'083
2025-06-15,EVENING,'464
2025-06-15,MIDDAY,'767
2025-06-14,NIGHT,'240
2025-06-14,EVENING,'824
2025-06-14,MIDDAY,'101
2025-06-13,NIGHT,'610
2025-06-13,EVENING,'734
2025-06-13,MIDDAY,'950
2025-06-12,NIGHT,'148
2025-06-12,EVENING,'693
2025-06-12,MIDDAY,'290
2025-06-11,NIGHT,'533
2025-06-11,EVENING,'740
2025-06-11,MIDDAY,'906
2025-06-10,NIGHT,'841
2025-06-10,EVENING,'233
2025-06-10,MIDDAY,'230
2025-06-09,NIGHT,'018
2025-06-09,EVENING,'638
2025-06-09,MIDDAY,'383
2025-06-08,NIGHT,'124
2025-06-08,EVENING,'004
2025-06-08,MIDDAY,'837
2025-06-07,NIGHT,'732
2025-06-07,EVENING,'358
2025-06-07,MIDDAY,'787
2025-06-06,NIGHT,'893
